album_id,genre
25471,0
13470,0
1072,1
4418,2
11880,0
9467,0
12059,1
14680,1
3050,2
2704,0
9334,0
19970,1
2365,0
8667,2
5327,0
25783,2
5799,2
14970,1
10983,0
11780,0
16000,1
25539,1
15512,0
23638,1
13357,0
16189,2
23915,2
14776,0
6390,0
5619,0
928,2
11772,2
11506,2
23451,2
13152,1
17662,1
7145,0
24304,2
5820,0
10514,2
23727,2
9105,0
3154,1
9383,0
8275,2
10592,2
15534,1
11177,2
5856,2
25013,1
3853,2
78,2
13566,0
14639,2
12393,0
14099,1
4883,0
14270,0
14831,0
26324,2
23265,1
16864,2
8265,1
16107,0
8242,1
4242,2
4221,2
7049,0
4759,2
21696,1
1336,0
10314,0
24794,2
2003,1
6703,0
958,2
5177,0
11272,0
10838,2
13990,2
4116,1
7450,2
14376,2
3961,1
6633,0
8783,2
16137,2
3149,1
13740,0
1283,2
7763,2
4466,1
10586,0
14224,2
24989,2
15409,1
15028,0
10716,0
6748,2
3042,2
8239,0
2339,2
1948,2
3535,2
14003,2
2636,1
16758,0
5548,2
13672,2
11983,2
7194,1
8572,2
15358,0
5267,0
11121,0
3189,2
12407,0
3641,2
3126,2
22475,2
5031,2
3278,0
10151,0
15635,0
10575,1
9578,2
1543,0
15971,2
9507,1
3345,0
17505,2
15980,2
11840,1
1216,1
11539,1
8730,2
8464,2
8486,2
15953,1
24282,2
11276,0
19009,1
5049,2
9251,0
2834,1
12238,1
5728,1
8457,2
23951,0
11222,1
12101,2
9156,1
20175,2
360,2
26072,1
16350,0
2832,1
11958,0
13596,0
12267,0
20621,1
12494,0
12489,0
7548,0
8704,0
1200,0
14015,0
14937,2
329,1
8192,1
3545,2
22321,1
22520,2
10193,2
10724,1
1129,2
1122,1
25606,2
233,0
26400,1
16188,2
20339,1
14468,2
15339,1
3687,0
9178,1
8781,1
6069,2
13844,1
624,2
23149,1
2068,2
3591,2
7802,2
240,1
25986,1
9767,0
6312,2
11895,1
4921,2
12915,0
9781,0
8535,0
10095,2
16790,0
6806,2
8223,0
390,0
3004,1
25858,1
1456,2
12705,1
21302,2
25101,1
5038,2
16437,2
296,2
1636,2
8835,1
25418,0
4579,2
438,0
9698,0
650,1
3145,0
4705,1
7329,1
1797,0
7262,0
8433,2
13758,1
10175,2
15616,0
13194,0
7652,0
23023,2
21001,1
6940,2
9036,1
8004,0
8319,0
2181,1
14898,0
2430,1
12699,0
8429,0
25681,2
6709,2
1670,0
8634,2
25591,2
19589,1
14681,1
4422,0
10018,2
6727,2
22484,2
14959,2
10612,1
12506,0
4892,2
2099,1
25585,0
10871,0
15703,1
18087,2
23410,2
7514,0
3542,0
7115,1
28,0
5676,2
6821,0
778,2
10632,2
9927,1
11021,0
13020,0
13683,1
14360,2
13092,2
8103,2
6002,0
13066,0
10418,1
13559,2
12750,0
11384,2
5245,1
4353,2
14629,0
19787,1
11729,1
11415,1
8113,2
13060,1
10910,2
8331,1
387,1
24321,2
20104,1
12229,0
9255,0
2159,1
9061,2
9352,0
16838,2
9828,0
993,0
6913,2
389,1
25859,2
8675,2
3293,2
9527,1
4141,1
12028,2
25945,0
10152,0
188,0
14273,0
9439,2
13047,0
6431,0
10827,1
8528,0
5008,0
1561,0
13884,1
14485,1
4064,2
13276,0
2980,1
15945,1
14384,1
13860,0
22864,2
19837,2
964,0
3207,2
11325,1
2263,1
7485,1
5151,0
24528,1
6557,0
16450,1
3402,1
15152,1
135,0
26259,1
22428,2
4314,0
5094,2
8605,0
9237,2
26511,2
1487,2
14708,0
24400,1
1665,0
4414,2
14182,1
7275,1
1500,0
12596,2
6717,2
15665,1
15897,0
18683,1
1260,2
11049,2
14474,0
3793,0
11749,0
10400,1
1655,0
24466,1
224,0
1596,1
1652,0
7786,2
14420,1
19211,1
7492,0
4075,2
2674,2
11443,1
11882,0
3738,2
4022,0
23354,1
21473,1
6850,1
652,2
8812,2
12660,1
7518,2
10414,0
12688,0
10828,2
170,0
1365,0
25609,0
15530,1
19593,1
4290,1
10757,0
9699,1
1853,1
12163,0
15008,1
1749,0
973,1
9175,2
16802,0
15871,1
4396,0
4469,1
6732,0
13216,1
13905,1
14205,0
2851,1
15012,0
25541,2
1944,0
23076,1
23517,1
14673,1
3553,0
9195,0
2282,0
21866,1
14214,0
1270,0
885,2
688,1
7180,1
4161,1
3943,2
12939,2
2179,1
10627,2
10089,0
5581,0
23435,1
8316,0
6943,2
3841,1
12766,0
1427,0
11468,1
23656,2
14290,0
22402,1
20,2
732,2
3660,2
13940,0
20894,1
8769,1
6203,2
20699,2
12236,0
22325,2
12311,0
16609,2
10878,0
14658,2
7355,2
8932,0
23728,1
5002,1
16897,2
6666,2
847,2
25583,1
4271,0
15001,0
13818,0
119,0
14947,1
15869,1
9314,0
12320,0
1206,0
10557,0
10158,1
24242,1
13956,1
11647,1
7201,0
1639,2
4383,0
13473,0
1143,2
2762,1
12654,1
4684,2
1968,2
4767,1
13843,1
3197,2
10941,2
4517,1
10986,0
20821,1
10197,0
7840,2
25803,1
13569,1
12285,2
5187,0
10543,0
406,0
4484,2
5964,1
22569,1
8385,0
11453,2
11885,0
12262,0
20095,1
218,0
13281,0
1813,2
17024,0
6206,1
22259,2
13548,1
13523,1
9180,1
4595,2
8117,2
25492,0
133,2
6424,0
8918,0
11596,0
1892,0
2999,1
9730,2
9390,0
12744,1
955,0
13103,1
15728,1
18596,2
16178,0
602,0
13433,1
13489,2
26081,1
11065,0
4987,1
5647,2
6029,2
24643,1
210,0
7463,2
15715,2
12474,1
19222,1
11383,0
15730,2
13877,0
6908,2
