album_id,genre
9821,2
12982,0
7510,1
1605,1
3402,1
25015,1
500,0
19006,3
15536,0
25111,1
14997,1
8409,2
13815,2
21028,3
2383,2
11337,2
19149,3
20080,2
9902,0
20911,3
17844,0
2480,0
119,0
7951,2
24148,3
1974,1
9196,2
19664,1
25003,2
3625,2
7382,2
22615,1
5706,0
33,1
9335,2
10423,0
21923,3
20657,3
23124,3
7171,2
4223,1
11697,1
736,1
439,2
11022,0
2014,2
12618,0
19568,3
5843,0
12184,0
20216,3
538,1
18540,1
12036,2
7704,0
12204,3
14361,0
10048,0
5054,1
11766,1
4045,1
1066,0
2930,1
26453,1
21614,3
1970,2
11739,0
20833,3
8430,1
24552,1
14831,0
4574,0
23761,3
1726,2
22484,2
10811,1
12792,0
24725,3
25023,3
8535,0
7355,2
3882,2
1154,0
13844,1
6731,1
8795,2
7999,1
3601,3
18532,3
11724,1
8275,2
6051,3
22187,3
17107,0
13372,2
2999,1
12811,1
746,0
6943,2
3289,0
15116,1
10968,0
9648,0
24622,3
3680,3
9086,0
4610,0
13653,3
12189,0
22227,3
13896,3
14004,2
14056,0
409,2
20331,3
2191,0
9544,1
5683,0
26454,3
3215,0
2181,1
360,2
24982,3
23942,3
7913,2
15512,0
25810,2
6260,0
11780,0
13762,3
3431,0
11142,2
13706,0
4036,1
23374,1
16516,2
1865,2
702,2
1826,2
9567,3
13162,1
14118,1
9597,1
20667,2
7933,1
25872,1
13818,0
21738,3
13314,2
5614,0
15788,0
23728,1
7825,2
1270,0
2164,2
22194,3
25685,0
26028,1
6005,2
6885,0
23622,3
3257,0
8737,0
20927,2
7363,2
11171,1
5958,2
18148,3
16880,0
18738,3
2835,2
8845,1
26360,1
169,0
962,1
16234,2
1869,0
8259,3
22945,3
24068,3
26225,0
19320,3
14626,2
3841,1
2773,2
10233,0
14456,2
13861,0
19167,2
1322,1
4376,1
2434,0
22328,3
19527,3
14259,3
10586,0
25894,1
12359,0
22846,3
14758,2
21935,1
4057,1
23293,1
6952,1
6402,0
23759,1
5753,2
10868,2
11777,1
8247,2
11924,0
21685,1
22826,3
6539,1
7209,2
13166,2
23706,2
23641,1
1145,1
6510,2
24209,2
15109,0
3870,1
24466,1
12060,2
16432,3
5611,0
10200,1
3061,2
721,2
10714,3
3149,1
8719,2
14493,1
4980,0
6986,0
23108,3
510,2
1601,1
7840,2
602,0
7823,1
19259,3
14968,0
4204,3
22076,3
12709,1
13787,1
22447,3
1189,1
10796,2
24107,3
13170,0
5978,0
3620,1
21227,3
1192,2
6753,1
2745,0
13768,0
26287,1
2050,0
10494,1
15835,0
1226,2
6861,1
23854,1
2980,1
7538,2
21140,3
13523,1
13986,2
2979,2
5586,0
8894,1
15681,1
19191,3
21580,2
11712,0
7597,2
6164,3
11686,0
11439,0
5413,0
4421,0
11121,0
13281,0
1294,1
5001,1
8619,2
10265,0
16640,3
21417,1
24780,3
8512,0
23852,3
11551,2
5128,1
16894,3
726,0
13110,0
7956,2
14126,0
1013,1
3839,1
5307,2
9974,0
19923,0
6496,0
10397,1
964,0
13292,1
7083,1
757,2
1179,0
15452,2
1351,1
14901,0
24695,3
25711,2
6195,2
13961,0
14593,1
10627,2
10363,2
1668,0
1531,1
7942,2
106,2
8295,3
22140,2
15173,0
14538,3
3331,2
9237,2
22885,3
13318,1
14873,1
9624,0
24607,3
10845,1
13752,0
15489,0
14581,3
10446,1
6053,1
11416,0
17486,3
25214,3
10130,0
1138,0
24778,3
7524,2
17488,3
9460,0
15024,1
11931,1
18722,3
8501,2
4186,1
10030,1
5837,1
17661,2
12274,1
7812,2
19598,3
24887,3
4969,0
4071,2
10457,1
744,2
21219,3
7894,1
23161,3
4877,3
24387,3
14460,0
6582,2
8223,0
11510,1
2281,1
13834,0
25459,0
15478,1
16982,1
13651,0
1368,0
13239,0
23538,3
17817,3
22055,3
7784,0
14816,0
14821,1
25492,0
16807,3
9195,0
1790,1
9699,1
20337,1
1176,1
6786,1
5323,1
19661,3
4084,0
401,1
18824,3
1135,2
14273,0
3549,3
14681,1
21128,3
636,1
14813,0
23481,3
15028,0
4696,0
26509,3
1152,1
1907,3
3606,2
3318,2
5531,1
23719,3
11742,0
20996,3
10539,0
11861,2
9639,0
9288,2
25681,2
20868,3
5897,1
12750,0
25407,0
16039,3
1829,1
9610,2
12041,2
14424,0
13603,3
7505,2
22038,3
11704,1
18904,1
2299,1
896,2
19095,3
4215,3
20702,3
13876,1
39,2
12236,0
15009,0
11146,1
25047,3
11647,1
7027,0
8488,2
16862,3
15407,0
11384,2
19941,3
940,0
13532,1
19681,1
